_key,Event_ID,team,event_team,event_time,event_type,action_player_1,action_player_2
877,877,Spain,home,11,Goal,olmo,
878,878,Spain,home,21,Goal,asensio,
879,879,Spain,home,31,Penalty,torres,
880,880,Costa Rica,away,45,Substitution,waston,mart铆nez
881,881,Spain,home,54,Goal,torres,
882,882,Spain,home,57,Substitution,morata,torres
883,883,Spain,home,57,Substitution,Azpilicueta,torres
884,884,Costa Rica,away,61,Substitution,Fuller,bennette
885,885,Costa Rica,away,61,Substitution,Campbell,contreras
886,886,Spain,home,64,Substitution,bald茅,pedri
887,887,Spain,home,64,Substitution,Carvajal,alba
888,888,Costa Rica,away,68,Yellow card,calvo,
889,889,Spain,home,69,Substitution,busquets,Olmo
890,890,Costa Rica,away,72,Substitution,aguilera,borges
891,891,Spain,home,74,Goal,gavi,
892,892,Costa Rica,away,82,Substitution,oviedo,Navas
893,893,Spain,home,90,Goal,olmo,
894,894,Spain,home,92,Goal,morata,
895,895,Costa Rica,away,97,Yellow card,campbell,
896,896,Germany,home,33,Penalty,g眉ndo臒an,
897,897,Germany,home,49,Disallowed goal,g眉ndo臒an,
898,898,Japan,away,45,Substitution,tomiyasu,Soma
899,899,Japan,away,57,Substitution,Maeda,kubo
900,900,Japan,away,57,Substitution,Taniguchi,nagatomo
901,901,Germany,home,67,Substitution,g眉ndo臒an,Havertz
902,902,Germany,home,67,Substitution,goretzka,m眉ller
903,903,Japan,away,71,Substitution,maeda,Itakura
904,904,Japan,away,74,Substitution,Nagatomo,tanaka
905,905,Japan,away,75,Goal,sakai,
906,906,Germany,home,79,Substitution,S眉le,San茅
907,907,Germany,home,79,Substitution,gnabry,musiala
908,908,Japan,away,83,Goal,sakai,
909,909,Germany,home,90,Substitution,R眉diger,Goretzka
910,910,Croatia,away,45,Substitution,pa拧ali膰,Livakovi膰
911,911,Morocco,home,60,Substitution,attiyat allah,El Khannous
912,912,Morocco,home,65,Substitution,Amrabat,mazraoui
913,913,Croatia,away,71,Substitution,livaja,Or拧i膰
914,914,Morocco,home,78,Yellow card,amrabat,
915,915,Croatia,away,79,Substitution,majer,vla拧i膰
916,916,Morocco,home,81,Substitution,Aguerd,Sa茂ss
917,917,Morocco,home,82,Substitution,sabiri,en-nesyri
918,918,Croatia,away,90,Substitution,or拧i膰,kova膷i膰
919,919,Australia,away,9,Goal,goodwin,
920,920,France,home,13,Substitution,hernandez,hernandez
921,921,France,home,27,Goal,rabiot,hernandez
922,922,France,home,32,Goal,giroud,hernandez
923,923,Australia,away,55,Yellow card,duke,rabiot
924,924,Australia,away,56,Substitution,duke,Kara膷i膰
925,925,France,home,68,Goal,mbapp茅,
926,926,France,home,71,Goal,giroud,demb茅l茅
927,927,Australia,away,73,Substitution,goodwin,Leckie
928,928,Australia,away,73,Substitution,Baccus,mcgree
929,929,France,home,77,Substitution,fofana,mbapp茅
930,930,France,home,77,Substitution,coman,tchouam茅ni
931,931,Australia,away,80,Yellow card,irvine,demb茅l茅
932,932,Australia,away,85,Substitution,baccus,atkinson
933,933,Australia,away,85,Substitution,degenek,irvine
934,934,France,home,89,Substitution,kound茅,Camavinga
935,935,France,home,89,Substitution,giroud,pavard
936,936,Australia,away,94,Yellow card,mooy,
937,937,Mexico,home,29,Yellow card,s谩nchez,
938,938,Poland,away,45,Substitution,bielik,zalewski
939,939,Mexico,home,56,Yellow card,moreno,zalewski
940,940,Poland,away,58,Missed penalty,lewandowski,
941,941,Mexico,home,71,Substitution,Moreno,Pineda
942,942,Mexico,home,71,Substitution,mart铆n,herrera
943,943,Poland,away,72,Substitution,frankowski,lewandowski
944,944,Poland,away,76,Yellow card,frankowski,szyma艅ski
945,945,Mexico,home,84,Substitution,vega,Ochoa
946,946,Poland,away,87,Substitution,milik,zieli艅ski
