event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
333,18,Serbia,home,47,Yellow card,Milinković-Savić,nan
334,18,Switzerland,away,48,Goal,Freuler,Vargas
335,18,Serbia,home,55,Substitution,Gudelj,Veljkovic
336,18,Serbia,home,55,Substitution,Jović,Vlahović
337,18,Serbia,home,56,Yellow card,Pavlović,nan
338,18,Serbia,home,66,Yellow card,Rajković,nan
339,18,Serbia,home,67,Substitution,Maksimović,Milinković-Savić
340,18,Switzerland,away,68,Substitution,Fernandes,Sow
341,18,Switzerland,away,69,Substitution,Zakaria,Shaqiri
342,18,Serbia,home,78,Substitution,Đuričić,Tadić
343,18,Serbia,home,78,Substitution,Radonjić,Živković
344,18,Serbia,home,81,Yellow card,Gudelj,nan
345,18,Serbia,home,82,Yellow card,Mitrović,nan
346,18,Switzerland,away,83,Substitution,Fassnacht,Vargas
347,18,Switzerland,away,95,Yellow card,Xhaka,nan
348,18,Serbia,home,95,Yellow card,Milenković,nan
349,18,Switzerland,away,96,Substitution,Okafor,Embolo
350,18,Switzerland,away,99,Yellow card,Schär,nan
351,18,Serbia,home,100,Yellow card,Lukić,nan
352,19,Portugal,away,5,Goal,Horta,Dalot
353,19,South Korea,home,27,Goal,Young-gwon,nan
354,19,South Korea,home,36,Yellow card,Kang-in,nan
355,19,Portugal,away,65,Substitution,Palhinha,Nunes
356,19,Portugal,away,65,Substitution,Leão,Neves
357,19,Portugal,away,65,Substitution,Silva,Ronaldo
358,19,South Korea,home,66,Substitution,Hee-chan,Jae-sung
359,19,South Korea,home,81,Substitution,Jun-ho,Young-gwon
360,19,South Korea,home,81,Substitution,Ui-jo,Kang-in
361,19,Portugal,away,81,Substitution,Silva,Vitinha
362,19,Portugal,away,82,Substitution,Carvalho,Mário
363,19,South Korea,home,91,Goal,Hee-chan,Heung-min
364,19,South Korea,home,92,Yellow card,Hee-chan,nan
365,19,South Korea,home,93,Substitution,Yu-min,Gue-sung
366,20,Uruguay,away,19,Yellow card,Núñez,nan
367,20,Ghana,home,21,Missed penalty,Ayew,penalty
368,20,Uruguay,away,26,Goal,de Arrascaeta,nan
369,20,Uruguay,away,32,Goal,de Arrascaeta,Suárez
370,20,Uruguay,away,34,Substitution,Vecino,Bentancur
371,20,Ghana,home,45,Substitution,Sulemana,Ayew
372,20,Ghana,home,45,Substitution,Bukari,Ayew
373,20,Uruguay,away,60,Yellow card,Suárez,nan
374,20,Uruguay,away,66,Substitution,de Cruz,Pellistri
375,20,Uruguay,away,66,Substitution,Cavani,Suárez
376,20,Ghana,home,72,Substitution,Semenyo,Williams
377,20,Ghana,home,72,Substitution,Kyereh,Abdul Samed
378,20,Uruguay,away,80,Substitution,Gómez,Núñez
379,20,Uruguay,away,80,Substitution,Canobbio,de Arrascaeta
380,20,Ghana,home,86,Yellow card,Sulemana,nan
381,20,Uruguay,away,87,Yellow card,Coates,nan
382,20,Ghana,home,98,Substitution,Fatawu Issahaku,Kudus
383,20,Ghana,home,99,Yellow card,Seidu,nan
384,20,Uruguay,away,100,Yellow card,Cavani,nan
385,20,Uruguay,away,100,Yellow card,Giménez,nan
386,21,Spain,away,11,Goal,Morata,Azpilicueta
387,21,Japan,home,39,Yellow card,Itakura,nan
388,21,Japan,home,44,Yellow card,Taniguchi,nan
389,21,Japan,home,45,Yellow card,Yoshida,nan
390,21,Japan,home,45,Substitution,Dōan,Kubo
391,21,Spain,away,45,Substitution,Carvajal,Azpilicueta
392,21,Japan,home,45,Substitution,Mitoma,Nagatomo
393,21,Japan,home,48,Goal,Dōan,Ito
394,21,Japan,home,51,Goal,Tanaka,Mitoma
395,21,Spain,away,57,Substitution,Torres,Williams
396,21,Spain,away,57,Substitution,Asensio,Morata
397,21,Japan,home,62,Substitution,Asano,Maeda
398,21,Spain,away,68,Substitution,Fati,Gavi
399,21,Spain,away,68,Substitution,Alba,Baldé
400,21,Japan,home,69,Substitution,Tomiyasu,Kamada
401,21,Japan,home,87,Substitution,Endo,Tanaka
402,22,Germany,away,10,Goal,Gnabry,Raum
403,22,Costa Rica,home,45,Substitution,Salas,Aguilera
404,22,Germany,away,45,Substitution,Klostermann,Goretzka
405,22,Germany,away,55,Substitution,Füllkrug,Gündoğan
406,22,Costa Rica,home,58,Goal,Tejeda,nan
407,22,Germany,away,66,Substitution,Havertz,Müller
408,22,Germany,away,67,Substitution,Götze,Raum
409,22,Costa Rica,home,70,Goal,Pablo Vargas,nan
410,22,Germany,away,73,Goal,Havertz,Füllkrug
411,22,Costa Rica,home,74,Substitution,Matarrita,Venegas
412,22,Costa Rica,home,74,Substitution,Bennette,Fuller
413,22,Costa Rica,home,76,Yellow card,Duarte,nan
414,22,Germany,away,85,Goal,Havertz,Gnabry
415,22,Germany,away,89,Goal,Füllkrug,Sané
416,22,Costa Rica,home,93,Substitution,Contreras,Oviedo
417,22,Costa Rica,home,93,Substitution,Wilson,Tejeda
418,22,Germany,away,93,Substitution,Ginter,Süle
419,23,Belgium,away,45,Substitution,Lukaku,Mertens
420,23,Belgium,away,59,Substitution,Hazard,Trossard
421,23,Croatia,home,64,Substitution,Petković,Livaja
422,23,Croatia,home,64,Substitution,Pašalić,Kramarić
423,23,Belgium,away,66,Yellow card,Dendoncker,nan
424,23,Belgium,away,72,Substitution,Doku,Carrasco
425,23,Belgium,away,72,Substitution,Tielemans,Dendoncker
426,23,Belgium,away,87,Substitution,Hazard,Meunier
427,23,Croatia,home,92,Substitution,Majer,Kovačić
428,24,Morocco,away,4,Goal,Ziyech,nan
429,24,Canada,home,7,Yellow card,Hoilett,nan
430,24,Morocco,away,23,Goal,En-Nesyri,Hakimi
431,24,Canada,home,26,Yellow card,Osorio,nan
432,24,Canada,home,40,Own goal,Aguerd,goal
433,24,Canada,home,47,Yellow card,Adekugbe,nan
434,24,Canada,home,60,Substitution,Hutchinson,Kaye
435,24,Canada,home,60,Substitution,David,Larin
436,24,Canada,home,61,Substitution,Koné,Adekugbe
437,24,Morocco,away,65,Substitution,Aboukhlal,Boufal
438,24,Morocco,away,65,Substitution,Amallah,Sabiri
439,24,Canada,home,65,Substitution,Laryea,Osorio
440,24,Morocco,away,76,Substitution,Hamdallah,Ziyech
441,24,Canada,home,76,Substitution,Wotherspoon,Hoilett
442,24,Morocco,away,77,Substitution,El Yamiq,Ounahi
443,24,Canada,home,84,Yellow card,Vitória,nan
444,24,Morocco,away,85,Substitution,Jabrane,Hakimi
445,25,Argentina,away,39,Missed penalty,Messi,penalty
446,25,Poland,home,45,Substitution,Skóraś,Świderski
447,25,Poland,home,45,Substitution,Kamiński,Frankowski
448,25,Argentina,away,46,Goal,Mac Allister,Molina
449,25,Argentina,away,49,Yellow card,Acuña,nan
450,25,Argentina,away,59,Substitution,Paredes,Di María
451,25,Argentina,away,59,Substitution,Tagliafico,Acuña
452,25,Poland,home,62,Substitution,Szymański,Bielik
453,25,Argentina,away,67,Goal,Álvarez,Fernández
454,25,Poland,home,72,Substitution,Jędrzejczyk,Bereszyński
455,25,Poland,home,78,Yellow card,Krychowiak,nan
456,25,Argentina,away,79,Substitution,Martínez,Álvarez
457,25,Argentina,away,79,Substitution,Pezzella,Fernández
458,25,Poland,home,83,Substitution,Piątek,Krychowiak
459,25,Argentina,away,84,Substitution,Almada,Mac Allister
460,26,Mexico,away,16,Yellow card,Álvarez,nan
461,26,Saudi Arabia,home,28,Yellow card,Al-Shehri,nan
462,26,Saudi Arabia,home,34,Yellow card,Al-Hassan,nan
463,26,Saudi Arabia,home,37,Substitution,Sharahili,Al-Bulaihi
464,26,Mexico,away,45,Substitution,Antuna,Vega
465,26,Saudi Arabia,home,45,Substitution,Madu,Al-Hassan
466,26,Mexico,away,47,Goal,Martín,Montes
467,26,Mexico,away,52,Goal,Chávez,nan
468,26,Saudi Arabia,home,52,Yellow card,Al-Tambakti,nan
469,26,Saudi Arabia,home,62,Substitution,Al-Aboud,Al-Shehri
470,26,Mexico,away,77,Substitution,Rodríguez,Pineda
471,26,Mexico,away,77,Substitution,Jiménez,Martín
472,26,Saudi Arabia,home,81,Yellow card,Madu,nan
473,26,Mexico,away,86,Substitution,Álvarez,Sánchez
474,26,Mexico,away,86,Substitution,Funes Mori,Álvarez
475,26,Saudi Arabia,home,88,Substitution,Bahebri,Al-Ghanam
476,26,Saudi Arabia,home,91,Yellow card,Al-Amri,nan
477,26,Saudi Arabia,home,95,Goal,Al-Dawsari,Bahebri
478,26,Saudi Arabia,home,97,Yellow card,Bahebri,nan
479,27,Tunisia,home,28,Yellow card,Kechrida,nan
480,27,Tunisia,home,58,Goal,Khazri,Laïdouni
481,27,Tunisia,home,60,Substitution,Jebali,Khazri
482,27,France,away,63,Substitution,Saliba,Varane
483,27,France,away,63,Substitution,Mbappé,Coman
484,27,France,away,63,Substitution,Rabiot,Veretout
485,27,France,away,73,Substitution,Griezmann,Fofana
486,27,Tunisia,home,74,Substitution,Chaalali,Ali Romdhane
487,27,France,away,79,Substitution,Dembélé,Guendouzi
488,27,Tunisia,home,83,Substitution,Abdi,Ben Slimane
489,27,France,away,100,Disallowed goal,goal,nan
490,28,Australia,home,4,Yellow card,Behich,nan
491,28,Australia,home,45,Substitution,Baccus,Goodwin
492,28,Denmark,away,45,Substitution,Bah,Kristensen
493,28,Australia,home,57,Yellow card,Degenek,nan
494,28,Denmark,away,59,Substitution,Dolberg,Braithwaite
495,28,Denmark,away,59,Substitution,Damsgaard,Jensen
496,28,Australia,home,60,Goal,Leckie,McGree
497,28,Denmark,away,69,Substitution,Skov,Skov Olsen
498,28,Denmark,away,70,Substitution,Cornelius,Mæhle
499,28,Australia,home,74,Substitution,Wright,McGree
500,28,Denmark,away,75,Yellow card,Skov,nan
